epoch,train_loss,loss,f1_macro,lr,seconds
1,0.9860844543245104,0.9427191247763457,0.4865370157006826,0.0001,39.914949893951416
2,0.8332921263906691,0.9958410538125921,0.45971661554264515,0.0001,25.26449203491211
3,0.4989446393648783,1.5498963214512225,0.45401424327655865,0.0001,26.223376035690308
4,0.17942968348189006,1.8582268245573397,0.4591046205792497,0.0001,25.662840127944946
5,0.09406035570634735,2.575104679266612,0.4581869675350356,0.0001,24.923110961914062
6,0.08998673034565789,2.4386063124515394,0.4658371252897373,0.0001,25.173492908477783
7,0.08366044507613257,2.497098145131712,0.4922367639425622,0.0001,26.041445016860962
8,0.08831468918730342,2.675653913285997,0.4633451001772963,0.0001,27.66049098968506
9,0.07684305417336641,2.5616672253608703,0.462358393677266,0.0001,27.161951780319214
10,0.08250469833375916,2.968960770986698,0.43854195546442415,0.0001,26.830087184906006
11,0.07938593254675941,2.480787555906508,0.47121372902858144,0.0001,26.62843608856201
12,0.07787506030783767,2.79217469047617,0.45591242600872733,0.0001,26.38976526260376
13,0.06884609468399533,2.9830633119521317,0.4622083791651475,0.0001,26.229552268981934
14,0.07419766889086792,2.925006649317565,0.45934833484253706,0.0001,26.05242419242859
15,0.06531375759414264,2.9551240764282367,0.4685088745777515,0.0001,25.893025875091553
16,0.06327464419343169,2.9815775363533583,0.46331445035730584,0.0001,26.337395906448364
17,0.0634414261913607,2.9608467493233857,0.460120746226454,0.0001,26.430238962173462
