epoch,train_loss,loss,f1_macro,lr,seconds
1,0.9997190280944582,0.859369655891701,0.50031986139319,0.0001,45.25002694129944
2,0.7768853976234558,0.8386174512792517,0.45786351079942184,0.0001,25.917335271835327
3,0.5800532684250483,0.84293959096626,0.47548001786585425,0.0001,26.750977993011475
4,0.5313441252329992,0.9633789082809731,0.5293929646709293,0.0001,30.000959396362305
5,0.5243505119898962,1.0534557969481857,0.5035431935465723,0.0001,33.3930561542511
6,0.5116492587422568,1.1055606091464008,0.5439002179209164,0.0001,37.11758899688721
7,0.5112008147391062,1.0456617756243105,0.49222874084075313,0.0001,38.59821534156799
8,0.5032525891917092,1.185034736085821,0.5379305207103223,0.0001,37.36930799484253
9,0.5064879087039402,0.9303227185319971,0.48668497625138557,0.0001,36.08443903923035
10,0.5027490230401357,1.080132935135453,0.5584089814128573,0.0001,35.22952079772949
11,0.4950365569856432,1.073716275162167,0.4977084170037496,0.0001,34.81869912147522
12,0.5076693166626824,1.1036652147328412,0.5013305420248525,0.0001,34.16281771659851
13,0.5019377369918521,1.128582002763395,0.548486253088945,0.0001,33.60769319534302
14,0.491568244960573,1.0432979908695927,0.5362830747660238,0.0001,33.43599200248718
15,0.4941379563392155,1.4467100511656867,0.5076902859650608,0.0001,33.255780935287476
16,0.4981731369192638,1.0399708065280209,0.5674367167634468,0.0001,32.87453889846802
17,0.4920955627683609,1.22648714877941,0.47575020046668337,0.0001,32.90551710128784
18,0.49545533252140833,1.056442675502212,0.5507263421627823,0.0001,32.37557888031006
19,0.4915746627913581,1.1777450300146033,0.5423502053965829,0.0001,32.397624015808105
20,0.4956405420908852,1.2774768079651726,0.5356886718253013,0.0001,31.699302911758423
21,0.48535451446260724,1.240310962200165,0.5993499377858442,0.0001,31.338008165359497
22,0.47038642733816116,1.081633865568373,0.6117583821932445,0.0001,31.096717834472656
23,0.4492497122476971,1.1277210812215452,0.6271608272823478,0.0001,34.16192317008972
24,0.42243125993107994,1.271568757251457,0.6016797959398019,0.0001,31.391780853271484
25,0.3917883158865429,1.1064207800670907,0.6477107061920401,0.0001,31.650171279907227
26,0.3587014947618757,1.2610959065401997,0.6299065455487959,0.0001,33.35141396522522
27,0.3151488823360867,1.2406784986566615,0.6394973950135702,0.0001,30.162163972854614
28,0.2765859954886966,1.2176433097874677,0.6716097626278708,0.0001,33.314253091812134
29,0.24424970770639087,1.1955849370691511,0.6786686205248369,0.0001,30.277796983718872
30,0.21702846432489062,1.2018205446225625,0.6975152248730588,1e-05,30.897815942764282
31,0.16938435455636372,1.3579072317812177,0.6778315538971394,1e-05,32.963170766830444
32,0.14262384875426218,1.4231233817118185,0.681683057322998,1e-05,29.884807109832764
33,0.12980801448935553,1.527013742879585,0.6756815600786302,1e-05,31.84402084350586
34,0.12127762536207835,1.5653316568003761,0.6777794973435447,1e-05,31.58114504814148
35,0.10979958125523158,1.670033786031935,0.662447319750226,1e-05,28.985759973526
36,0.10415012670414789,1.6668197967388012,0.6700427076738599,1e-05,28.943422079086304
37,0.09596596124626341,1.8283049660258823,0.659804445558695,1e-05,28.931786060333252
38,0.0917899647402385,1.8532543123209917,0.660341911155932,1e-05,28.92921805381775
39,0.085244051246416,1.89557014103289,0.6640136730862669,1e-05,28.836920022964478
40,0.07943080332071062,2.004659788078732,0.6635483936000564,1e-05,28.891849994659424
