epoch,train_loss,loss,f1_macro,lr,seconds
1,0.4742513848864843,0.3178991601616144,0.8654232117384684,0.0001,44.7630090713501
2,0.3259770634533867,0.31181310897486075,0.870141773543308,0.0001,25.942747831344604
3,0.1976585432650551,0.4221952143501214,0.8642253687932527,0.0001,26.318403005599976
4,0.10268942786587609,0.741894858967237,0.824251462554768,0.0001,25.794785022735596
5,0.0776138118335179,0.6998964616656304,0.8368719410337064,0.0001,26.309196949005127
6,0.06153120274581606,0.7936207807947088,0.8456908346115634,0.0001,27.286860942840576
7,0.06318695399969343,0.7967396397060819,0.8388872903100545,0.0001,28.129213094711304
8,0.05116458387069759,0.7937585058537553,0.8432927285779211,0.0001,28.48045802116394
9,0.050811946218212445,0.8960453003644944,0.8327659939648765,0.0001,28.396811962127686
10,0.03793772174725457,1.110284080505371,0.8346858595625983,0.0001,29.105701208114624
11,0.04587702619828402,1.2253476294764767,0.8014412616765395,0.0001,27.93050503730774
12,0.04359097225621106,0.8493047945311776,0.8365395566001297,0.0001,27.671301126480103
