epoch,train_loss,val_ap,val_acc,lr,patience_left,is_best
1,0.236345,0.982635,0.933750,1.00e-04,5,1
2,0.118358,0.986017,0.943750,1.00e-04,5,1
3,0.071399,0.986937,0.947750,1.00e-04,5,1
4,0.051595,0.982872,0.946500,1.00e-04,4,0
5,0.032891,0.983080,0.943750,1.00e-04,3,0
6,0.030772,0.983795,0.945500,1.00e-04,2,0
7,0.026960,0.984634,0.947000,5.00e-05,1,0
8,0.014663,0.985450,0.946500,5.00e-05,0,0
