epoch,train_loss,loss,f1_macro,lr,seconds
1,0.22531947239996894,0.15926253462279286,0.9436919027291898,0.0001,46.14741802215576
2,0.15411127578644526,0.15231184991145574,0.9439605440196873,0.0001,26.090294122695923
3,0.1210819930784286,0.18667251080274583,0.9392618097195923,0.0001,27.209053993225098
4,0.08517556754842637,0.19390893582944516,0.9334776764126479,0.0001,27.338037967681885
5,0.05570330973537195,0.23665497812959882,0.9368820258358642,0.0001,27.267327308654785
6,0.03789998583495617,0.2842403359393831,0.9388279505132822,0.0001,31.720271110534668
7,0.023258366484106296,0.3904765623274984,0.9322347178086172,0.0001,33.06403207778931
8,0.0208986777365799,0.4616013941865337,0.9279209875265919,0.0001,30.79171371459961
9,0.020608493253876942,0.4710827612714773,0.9365973057959877,0.0001,29.94080400466919
10,0.0222434935286375,0.4124572139966875,0.9349552701012298,0.0001,32.98095202445984
11,0.017003230673837518,0.40468624736113407,0.9379291262122055,0.0001,29.203224182128906
12,0.015713969706003333,0.4939394738753833,0.9405187875225071,0.0001,28.985942125320435
